TIME,GDP,Immigrant,Investment,Rate,CPI,Unemployment
2000-Q1,1.599736,45564,0.900052024,6.8,2.721335269,6.8
2000-Q2,1.188585,57871,0.683620158,7.5,2.412675549,6.766666667
2000-Q3,1.016982,66518,1.200746303,7.5,2.683363148,6.966666667
2000-Q4,0.171207,57476,0.451174114,7.5,3.128332741,7
2001-Q1,0.529651,58485,2.723067872,6.75,2.719886966,7.033333333
2001-Q2,0.26949,70048,1.326470074,6.25,3.58649789,7.133333333
2001-Q3,-0.066614,69951,1.225509275,5.5,2.682926829,7.233333333
2001-Q4,0.608829,52154,-2.69718145,4,1.068597036,7.633333333
2002-Q1,1.484226,61589,0.253588204,3.75,1.547455296,8.066666667
2002-Q2,0.589373,72711,1.348363901,4.25,1.323828921,7.766666667
2002-Q3,0.865449,52919,1.565126228,4.5,2.409229725,7.6
2002-Q4,0.548621,41830,0.270708537,4.5,3.819918145,7.6
2003-Q1,0.553325,45558,0.899261463,4.75,4.402302743,7.5
2003-Q2,-0.147464,58863,0.994918445,5,2.747068677,7.766666667
2003-Q3,0.373654,63340,3.145010705,4.5625,2.153744201,7.866666667
2003-Q4,0.689959,53588,2.274436209,4.5,1.708278581,7.5
2004-Q1,0.720268,54914,2.338153387,4,0.908206293,7.4
2004-Q2,1.187819,67241,1.578998207,3.75,2.21715031,7.266666667
2004-Q3,1.180436,65579,1.455201372,3.9,1.946156341,7.066666667
2004-Q4,0.718427,48090,1.709068755,4.25,2.293281654,7.2
2005-Q1,0.346067,56438,2.714190682,4.25,2.18579235,7.033333333
2005-Q2,0.725523,74471,2.410324274,4.25,1.850079745,6.9
2005-Q3,1.211375,75945,2.702650909,4.4375,2.577155584,6.8
2005-Q4,0.988734,55386,2.132520132,5,2.305020524,6.6
2006-Q1,0.810995,55134,1.840305056,5.45,2.54797106,6.633333333
2006-Q2,0.051646,67909,0.887763523,6,2.536799248,6.366666667
2006-Q3,0.279245,70356,-0.021084291,6,1.612903226,6.533333333
2006-Q4,0.398598,58245,0.554913295,6,1.388888889,6.466666667
2007-Q1,0.639627,47875,1.444060653,6,1.840490798,6.333333333
2007-Q2,0.968907,61649,0.739524851,6,2.107513745,6.233333333
2007-Q3,0.419855,71657,0.414891592,6.25,2.075702076,6.1
2007-Q4,0.113617,55573,1.196687687,6,2.496194825,6.166666667
2008-Q1,0.076641,53145,2.288426959,5.25,1.746987952,6.166666667
2008-Q2,0.361672,69247,-0.621571603,4.75,2.393060126,6.233333333
2008-Q3,0.820044,71312,-0.861711982,4.75,3.55861244,6.266666667
2008-Q4,-1.159518,53543,-4.125570716,3.6,1.841401841,6.8
2009-Q1,-2.259686,50783,-10.07313277,2.5,1.184132623,8.166666667
2009-Q2,-1.091259,69651,-0.476354502,2.25,0.087642419,8.733333333
2009-Q3,0.449939,75390,3.135463974,2.25,-0.837424199,8.766666667
2009-Q4,1.166157,56353,4.712314715,2.25,0.787401575,8.6
2010-Q1,1.206341,58041,3.526567153,2.25,1.609128145,8.533333333
2010-Q2,0.523261,80797,2.130690398,2.5,1.37186223,8.233333333
2010-Q3,0.708695,84292,1.136514852,2.9,1.863715783,8.3
2010-Q4,1.117505,57552,1.761635812,3,2.228009259,7.966666667
2011-Q1,0.755347,49570,1.061669747,3,2.447451771,7.933333333
2011-Q2,0.194807,67696,0.86311061,3,3.426432479,7.8
2011-Q3,1.37964,71864,0.400262144,3,3.03030303,7.533333333
2011-Q4,0.787513,59603,0.98005498,3,2.660628361,7.633333333
2012-Q1,0.064087,55563,2.772616273,3,2.417088252,7.6
2012-Q2,0.326164,73006,1.047610245,3,1.503340757,7.533333333
2012-Q3,0.136217,66902,-0.141445871,3,1.220865705,7.4
2012-Q4,0.206781,62338,0.723646876,3,0.992555831,7.4
2013-Q1,0.897005,58253,0.550758263,3,0.933040615,7.166666667
2013-Q2,0.580357,75608,0.022059667,3,0.713110258,7.2
2013-Q3,0.814973,65406,0.108509625,3,1.096491228,7.3
2013-Q4,1.05056,59771,0.35844268,3,0.955500956,7.333333333
2014-Q1,0.163448,64458,0.230717728,3,1.332245786,7.266666667
2014-Q2,0.913329,78289,0.866430421,3,2.260348584,7.3
2014-Q3,0.959051,65542,1.372513256,3,2.114967462,7.133333333
2014-Q4,0.691976,52007,1.325656563,3,1.974040022,6.833333333
2015-Q1,-0.549519,51123,-4.214335845,2.85,1.073249262,6.933333333
2015-Q2,-0.272172,72091,-2.755585766,2.85,0.905459387,7
2015-Q3,0.353702,78902,-1.274538729,2.7,1.221455125,7.066666667
2015-Q4,0.074877,69741,-0.800204131,2.7,1.272871917,7.2
2016-Q1,0.548501,86247,-1.973893074,2.7,1.539686753,7.4
2016-Q2,-0.491712,88302,-0.724796993,2.7,1.557139087,7.166666667
2016-Q3,1.031214,68242,0.28955897,2.7,1.232948583,7
2016-Q4,0.561483,53614,-1.642586635,2.7,1.413982718,6.933333333
2017-Q1,1.08691958,72839,2.739428409,2.7,1.882352941,6.8
2017-Q2,1.023044213,78012,0.876185106,2.7,1.325363825,6.6
2017-Q3,0.421873021,70109,0.908171917,3.1375,1.373412801,6.333333333
